date,geo,timeframe,new product,product launch,AI trends,wearable technology,electric vehicle,sustainable fashion,food innovation,medtech,smart device,bluetooth headphones,smartwatch,plant-based food,digital health,generative AI,AI chatbots,quantum computing,immersive tech,eco friendly products
2025-07-26,IN,today 3-m,28,5,19,0,37,0,0,18,13,60,5,0,1,3,0,62,0,0
2025-07-27,IN,today 3-m,27,6,19,0,32,0,0,0,15,82,7,0,1,2,0,60,0,0
2025-07-28,IN,today 3-m,29,8,21,0,39,0,0,27,0,72,5,0,1,4,0,71,0,0
2025-07-29,IN,today 3-m,36,6,17,0,35,0,0,31,14,79,5,0,1,4,0,73,0,0
2025-07-30,IN,today 3-m,37,9,25,0,43,0,0,28,15,71,5,0,1,4,0,70,0,0
2025-07-31,IN,today 3-m,44,8,22,0,40,0,0,0,0,64,5,0,1,3,0,76,0,0
2025-08-01,IN,today 3-m,39,9,15,0,35,0,0,34,14,72,5,0,1,3,0,76,0,0
2025-08-02,IN,today 3-m,27,8,12,0,36,0,0,15,25,76,6,0,0,2,0,77,0,0
2025-08-03,IN,today 3-m,24,0,12,0,31,0,0,0,18,66,6,0,0,2,0,45,0,0
2025-08-04,IN,today 3-m,28,11,16,0,43,19,0,23,14,64,5,0,1,3,0,74,0,0
2025-08-05,IN,today 3-m,46,10,21,0,46,0,0,25,21,63,5,0,1,4,0,80,0,0
2025-08-06,IN,today 3-m,54,14,22,0,48,0,0,27,20,62,5,0,1,4,0,100,0,0
2025-08-07,IN,today 3-m,57,14,29,0,44,0,0,28,21,74,6,0,1,4,0,85,0,0
2025-08-08,IN,today 3-m,56,11,22,0,40,0,0,24,21,72,6,0,1,3,0,75,0,0
2025-08-09,IN,today 3-m,84,15,18,0,38,0,0,0,16,92,9,0,1,3,0,79,0,0
2025-08-10,IN,today 3-m,100,19,18,0,39,0,0,17,0,97,8,0,1,3,0,87,0,0
2025-08-11,IN,today 3-m,68,14,27,0,44,0,0,35,25,60,5,0,1,4,0,73,0,0
2025-08-12,IN,today 3-m,43,10,24,0,39,0,0,19,20,70,5,0,1,3,0,90,0,0
2025-08-13,IN,today 3-m,31,10,13,0,38,0,0,19,12,84,5,0,1,3,0,77,0,0
2025-08-14,IN,today 3-m,30,9,14,0,36,0,0,21,15,66,5,0,1,3,0,62,0,0
2025-08-15,IN,today 3-m,22,0,13,0,32,0,0,0,0,56,6,0,1,2,0,58,0,0
2025-08-16,IN,today 3-m,18,7,15,0,28,0,0,17,15,75,5,0,0,3,0,51,0,0
2025-08-17,IN,today 3-m,29,6,19,0,35,0,0,15,19,61,6,0,0,2,0,62,0,0
2025-08-18,IN,today 3-m,29,9,15,0,39,0,0,24,15,69,4,0,1,4,0,78,0,0
2025-08-19,IN,today 3-m,27,9,18,0,38,0,0,29,22,56,5,0,1,4,0,80,0,0
2025-08-20,IN,today 3-m,37,9,17,0,37,0,0,26,21,74,4,0,1,4,0,85,0,0
2025-08-21,IN,today 3-m,36,9,16,0,44,0,0,36,20,74,5,0,1,3,0,81,0,0
2025-08-22,IN,today 3-m,28,6,13,0,40,0,0,19,13,54,5,0,1,3,0,87,0,0
2025-08-23,IN,today 3-m,27,6,16,0,43,0,0,0,16,81,5,0,1,3,0,87,0,0
2025-08-24,IN,today 3-m,27,0,13,0,31,0,0,0,0,64,6,0,1,4,0,86,0,0
2025-08-25,IN,today 3-m,36,9,17,0,39,13,0,21,13,71,5,0,1,4,0,78,0,0
2025-08-26,IN,today 3-m,31,6,13,0,36,0,0,37,21,90,5,0,1,3,0,64,0,0
2025-08-27,IN,today 3-m,28,11,13,0,35,14,0,23,24,61,5,0,1,3,0,60,0,0
2025-08-28,IN,today 3-m,30,0,16,0,35,0,0,23,14,61,5,0,1,3,0,87,0,0
2025-08-29,IN,today 3-m,28,10,16,0,47,0,0,33,0,62,4,0,1,3,0,90,0,0
2025-08-30,IN,today 3-m,19,5,12,0,32,0,0,17,18,68,5,0,1,3,0,87,0,0
2025-08-31,IN,today 3-m,23,7,14,0,28,0,0,19,16,77,6,0,0,2,0,66,0,0
2025-09-01,IN,today 3-m,28,5,11,0,44,0,0,25,0,65,4,0,1,3,0,69,0,0
2025-09-02,IN,today 3-m,32,6,15,0,36,0,0,33,14,59,5,0,1,3,0,78,0,0
2025-09-03,IN,today 3-m,35,7,21,0,47,0,0,39,20,62,4,0,1,3,0,70,0,0
2025-09-04,IN,today 3-m,54,7,13,0,41,0,0,34,18,61,5,0,1,2,0,65,0,0
2025-09-05,IN,today 3-m,32,9,16,0,30,0,0,20,22,58,4,0,1,3,0,67,0,0
2025-09-06,IN,today 3-m,32,0,12,0,41,0,0,22,14,67,5,0,1,3,0,46,0,0
2025-09-07,IN,today 3-m,27,0,12,0,32,0,0,15,0,71,5,0,1,2,0,51,0,0
2025-09-08,IN,today 3-m,33,9,17,0,41,0,0,26,0,60,4,0,1,3,0,73,0,0
2025-09-09,IN,today 3-m,37,8,18,0,47,0,0,18,12,57,5,0,1,3,0,49,0,0
